Don Torcuato	-34.49459	-58.62729	64867
Dolores	-36.31321	-57.67918	25190
Curuzú Cuatiá	-29.79171	-58.0546	36390
Corrientes	-27.46784	-58.8344	339067
Concordia	-31.39296	-58.02089	145210
Concepción del Uruguay	-32.48463	-58.23217	67895
Concepción de la Sierra	-27.98311	-55.52031	7398
Comandante Fontana	-25.33453	-59.68212	5655
Colonia Aurora	-27.47428	-54.52498	8407
Colegiales	-34.57365	-58.44924	57000
Clorinda	-25.28481	-57.71851	15000
Chajarí	-30.75048	-57.97962	30655
Cerro Azul	-27.6331	-55.4962	5323
Capioví	-26.92998	-55.06084	5860
Candelaria	-27.4595	-55.74536	11039
Campo Viera	-27.33271	-55.05651	9228
Campo Ramón	-27.4549	-55.02122	10088
Campo Grande	-27.2077	-54.97977	12040
Campana	-34.16327	-58.95919	81612
Buenos Aires	-34.61315	-58.37723	13076300
Bovril	-31.34311	-59.44512	7977
Boedo	-34.63333	-58.41667	48231
Bernardo de Irigoyen	-26.2552	-53.64581	10889
Berazategui	-34.76531	-58.21278	167498
Belgrano	-34.5627	-58.45829	138942
Barranqueras	-27.48132	-58.93925	50823
Barracas	-34.64966	-58.38341	77474
Balcarce	-37.84616	-58.25522	38823
Azul	-36.77698	-59.85854	53941
Avellaneda	-29.11761	-59.65834	23341
Aristóbulo del Valle	-27.09625	-54.89626	20683
Alvear	-29.09683	-56.55043	7917
Alba Posse	-27.56978	-54.68262	6652
Zapala	-38.89916	-70.05442	31534
Yuto	-23.64342	-64.47194	7732
Yerba Buena	-26.81667	-65.31667	50783
Yacimiento Río Turbio	-51.57321	-72.3508	6650
Villa Regina	-39.1	-67.06667	31209
Villa Paula de Sarmiento	-31.4933	-68.53838	19092
Villa Ojo de Agua	-29.50003	-63.69377	5832
Villa Nueva	-32.43293	-63.24763	16841
Villa María	-32.40751	-63.24016	92453
Villa La Angostura	-40.76173	-71.64631	7526
Villa Huidobro	-34.83826	-64.58686	5155
Villa General Belgrano	-31.97828	-64.55627	5888
Villa Dolores	-31.94585	-65.18958	28009
Villa de Soto	-30.85523	-64.99947	7303
Villa del Totoral	-30.81667	-63.71667	7110
Villa Constitución	-33.22778	-60.3297	44271
Chañar Ladeado	-33.32524	-62.03831	5639
Villa Carlos Paz	-31.42414	-64.49778	69451
Villa Cañás	-34.00565	-61.60757	9328
Villa Berthet	-27.29174	-60.41263	12029
Villa Ángela	-27.57383	-60.71526	43511
Villa Allende	-31.29458	-64.29538	21683
Viedma	-40.81345	-62.99668	48940
Vicuña Mackenna	-33.91965	-64.39215	8994
Victorica	-36.21505	-65.43586	6565
Victoria	-32.61841	-60.15478	25139
Viale	-31.86782	-60.00722	8939
Vera	-29.4593	-60.21261	19797
Venado Tuerto	-33.74556	-61.96885	72340
Veinticinco de Mayo	-37.7741	-67.71638	6962
Veinticinco de Mayo	-35.4323	-60.17271	24668
Valle Hermoso	-31.11732	-64.48084	5486
Ushuaia	-54.81084	-68.31591	58028
Unquillo	-31.23073	-64.31615	15369
Trevelin	-43.0858	-71.46386	6395
Tres Isletas	-26.34067	-60.43207	24747
Tres Arroyos	-38.37394	-60.27978	47136
Trelew	-43.24895	-65.30505	93442
Trancas	-26.23136	-65.28093	6658
Totoras	-32.5844	-61.16852	9587
Tostado	-29.23202	-61.76917	14000
Tinogasta	-28.06319	-67.56488	14509
Tilisarao	-32.73292	-65.29109	5478
Tilcara	-23.57817	-65.39516	5640
Termas de Río Hondo	-27.49362	-64.85972	27838
Tartagal	-22.51637	-63.80131	60819
Tancacha	-32.24309	-63.9807	5184
Tafí Viejo	-26.73201	-65.25921	48459
Taco Pozo	-25.61557	-63.26708	8470
Suncho Corral	-27.93357	-63.42938	6087
Sunchales	-30.94404	-61.56148	18757
Simoca	-27.26272	-65.35647	7939
Sierra Grande	-41.60603	-65.35574	6978
Senillosa	-39.01412	-68.43281	6394
Sastre	-31.76762	-61.82887	5521
Sarmiento	-45.58815	-69.06996	8292
Santo Tomé	-31.66274	-60.7653	59072
Santiago del Estero	-27.79511	-64.26149	354692
Santa Sylvina	-27.83261	-61.13747	9040
Santa Rosa de Río Primero	-31.15231	-63.40191	6788
Santa Rosa de Calamuchita	-32.06905	-64.53631	9504
Santa Rosa	-36.61667	-64.28333	111424
Santa Lucía	-31.53987	-68.49503	43565
Santa Fe	-31.64881	-60.70868	489505
San Salvador de Jujuy	-24.19457	-65.29712	305891
San Ramón de la Nueva Orán	-23.13705	-64.32426	74059
San Rafael	-34.61772	-68.33007	109163
San Pedro de Jujuy	-24.23127	-64.86614	58430
San Nicolás de los Arroyos	-33.33425	-60.2108	127742
San Miguel de Tucumán	-26.82414	-65.2226	781023
San Martín de los Andes	-40.15789	-71.35337	23519
San Martín	-33.08103	-68.46814	82549
San Martín	-31.42957	-68.50065	10140
San Luis	-33.29501	-66.33563	183982
San Justo	-30.78913	-60.59189	21809
San Juan	-31.5375	-68.53639	447048
San José de Jáchal	-30.24057	-68.74693	21018
San Jorge	-31.89618	-61.85984	16873
San Francisco	-31.42797	-62.08266	59062
San Fernando del Valle de Catamarca	-28.46957	-65.78524	188812
San Cristóbal	-30.31053	-61.23724	14286
San Carlos Centro	-31.72864	-61.09192	10465
San Bernardo	-27.28782	-60.71252	11101
San Benito	-31.78371	-60.44156	6771
San Antonio Oeste	-40.73193	-64.94769	16966
San Agustín de Valle Fértil	-30.63353	-67.46821	6864
Sampacho	-33.3839	-64.72211	7238
Salta	-24.7859	-65.41166	512686
Salsipuedes	-31.13725	-64.29589	6411
Rufino	-34.26827	-62.71262	18361
Rosario	-32.94682	-60.63932	1173533
Roldán	-32.89846	-60.90681	12468
Río Tercero	-32.17301	-64.11405	53389
Río Segundo	-31.6526	-63.9099	18155
Río Grande	-53.78769	-67.70946	52681
Río Gallegos	-51.62261	-69.21813	85700
Río Cuarto	-33.13067	-64.34992	153757
Río Ceballos	-31.16486	-64.32241	16632
Recreo	-31.49076	-60.73299	12798
Recreo	-29.28184	-65.06096	14204
Realicó	-35.03658	-64.2447	7151
Rawson	-43.30016	-65.10228	26335
Rafaela	-31.25033	-61.4867	88713
Rada Tilly	-45.92462	-67.55424	6208
Quitilipi	-26.86913	-60.21683	32083
Quimilí	-27.64615	-62.41655	10959
Punta Alta	-38.87588	-62.07359	57209
Puerto San Julián	-49.30696	-67.7298	6143
Puerto Madryn	-42.7692	-65.03851	64555
Puerto Deseado	-47.75034	-65.89382	10237
Presidencia Roque Sáenz Peña	-26.78522	-60.43876	81879
Pozo del Molle	-32.0186	-62.91984	5429
Pocito	-31.68333	-68.58333	40969
Plottier	-38.96667	-68.23333	25186
Plaza Huincul	-38.92598	-69.20863	12273
Pilar	-31.6789	-63.87964	12488
Pico Truncado	-46.7949	-67.95731	14985
Pergamino	-33.88995	-60.57357	87652
Pérez	-32.99835	-60.76791	24436
Paraná	-31.73271	-60.52897	262295
Pampa del Infierno	-26.50517	-61.17436	8176
Palpalá	-24.25647	-65.21163	48199
Palma Sola	-23.97771	-64.30311	5318
Oncativo	-31.91353	-63.68201	12660
Oliva	-32.04158	-63.56978	11629
Olavarría	-36.89272	-60.32254	86320
Nueve de Julio	-35.44437	-60.88313	34718
Nueve de Julio	-31.66914	-68.39023	7652
Neuquén	-38.95161	-68.0591	242092
Morteros	-30.71164	-61.99862	15129
Monteros	-27.16741	-65.49832	23771
Monte Maíz	-33.20462	-62.60085	6920
Monte Cristo	-31.34312	-63.94437	6914
Monte Buey	-32.91642	-62.45669	5497
Mina Clavero	-31.72101	-65.00619	6855
Merlo	-32.34288	-65.01396	11159
Mendoza	-32.89084	-68.82717	876884
Marcos Juárez	-32.6978	-62.10672	24226
Malvinas Argentinas	-31.38194	-64.05545	8628
Malagueño	-31.46467	-64.3584	9364
Machagai	-26.92614	-60.04955	28070
Los Frentones	-26.4077	-61.41367	6610
Los Altos	-28.04845	-65.49945	6421
Lincoln	-34.86649	-61.5302	41808
Libertador General San Martín	-23.80644	-64.78757	49267
Leones	-32.66174	-62.29678	9971
La Toma	-33.05258	-65.62385	6663
Las Varillas	-31.87208	-62.71946	14649
Las Rosas	-32.47661	-61.58041	12793
Las Parejas	-32.68478	-61.51637	11317
Las Lomitas	-24.70955	-60.59303	10354
Las Lajitas	-24.72762	-64.19335	9151
Las Higueras	-33.09231	-64.28899	5282
Las Heras	-46.54186	-68.93593	9303
Las Breñas	-27.08966	-61.08161	26955
La Rioja	-29.41105	-66.85067	162620
La Quiaca	-22.10236	-65.59299	14751
Lamarque	-39.42304	-65.70208	7819
Laguna Paiva	-31.30391	-60.65894	12250
Laguna Larga	-31.77652	-63.80104	7137
La Falda	-31.08841	-64.48987	15112
La Cumbre	-30.98201	-64.49139	7235
La Cocha	-27.76927	-65.58711	7066
La Carlota	-33.41993	-63.29769	11490
La Calera	-31.34377	-64.33529	24796
Laboulaye	-34.12662	-63.39119	19908
Laborde	-33.15319	-62.85661	5492
Justo Daract	-33.8594	-65.18277	9680
Justiniano Posse	-32.88411	-62.67788	7406
Junín de los Andes	-39.95043	-71.06936	10592
Junín	-34.58382	-60.94332	85007
Joaquín V. González	-25.11364	-64.12628	19185
Jesús María	-30.98153	-64.09424	26825
Intendente Alvear	-35.23383	-63.59205	6990
Ingenio La Esperanza	-24.22554	-64.83896	5002
Ingeniero Luis A. Huergo	-39.07146	-67.2379	6483
Ingeniero Jacobacci	-41.3292	-69.55015	5785
Ingeniero Guillermo N. Juárez	-23.9	-61.85	10357
Icaño	-28.91934	-65.32817	6857
Humahuaca	-23.20544	-65.35048	11369
Huinca Renancó	-34.84038	-64.3758	8637
Huillapima	-28.72533	-65.9787	7779
Huerta Grande	-31.07524	-64.49063	5630
Hernando	-32.42657	-63.73333	10486
Hermoso Campo	-27.60816	-61.34441	7435
Guatraché	-37.66776	-63.53021	5271
Graneros	-27.64934	-65.4383	5263
Granadero Baigorria	-32.85683	-60.71754	32427
Gobernador Gálvez	-33.03016	-60.64045	74650
General Villegas	-35.03285	-63.01252	16270
General Roca	-39.03333	-67.58333	73212
General Ramírez	-32.17601	-60.20079	8614
General Pinedo	-27.31667	-61.28333	15741
General Pico	-35.65662	-63.75682	57029
General Levalle	-34.01472	-63.92413	5492
General Fernández Oro	-38.95297	-67.92489	6813
General Mosconi	-22.59588	-63.81255	19811
General Conesa	-40.10408	-64.45592	5595
General Cabrera	-32.81313	-63.87243	10351
General Acha	-37.37698	-64.60431	12536
Gálvez	-32.02927	-61.22103	18374
Gaimán	-43.2897	-65.4929	5753
Funes	-32.91568	-60.80995	14750
Fray Luis Beltrán	-39.31369	-65.76002	6401
Fray Luis A. Beltrán	-32.79122	-60.72819	14390
Fraile Pintado	-23.94079	-64.79943	13682
Firmat	-33.45937	-61.4832	18294
Fiambalá	-27.67225	-67.6187	8061
Famaillá	-27.05413	-65.40329	30951
Esquel	-42.91147	-71.31947	28486
Esperanza	-31.4488	-60.93173	35885
Embarcación	-23.21003	-64.09965	23961
Embalse	-32.18	-64.41809	15900
El Trébol	-32.2008	-61.7014	10871
El Quebrachal	-25.28333	-64.06667	10243
El Galpón	-25.38069	-64.65259	8357
El Carril	-25.0741	-65.49174	9780
El Calafate	-50.34075	-72.27682	8000
El Bolsón	-41.96051	-71.53336	15537
Eduardo Castex	-35.91501	-64.29448	9861
Diamante	-32.06641	-60.63837	19545
Devoto	-31.40431	-62.30634	5597
Despeñaderos	-31.81626	-64.28989	5645
Deán Funes	-30.42036	-64.34984	20164
Cutral-Có	-38.93424	-69.23052	47380
Cruz del Eje	-30.72644	-64.80387	28166
Cruz Alta	-33.00887	-61.80746	6862
Crespo	-32.02873	-60.30658	18296
Cosquín	-31.24508	-64.46563	19070
Corzuela	-26.95374	-60.96928	10470
Corral de Bustos	-33.28205	-62.18463	9882
Coronel Suárez	-37.45467	-61.93343	27000
Coronel Moldes	-33.6227	-64.59711	8104
Coronel Du Graty	-27.68038	-60.91462	9140
Coronel Dorrego	-38.71867	-61.28733	11644
Coronda	-31.97263	-60.91983	16975
Córdoba	-31.4135	-64.18105	1428214
Concepción del Bermejo	-26.59926	-60.94617	5830
Comodoro Rivadavia	-45.86413	-67.49656	140850
Clodomira	-27.5744	-64.13108	9043
Cipolletti	-38.93392	-67.99032	75078
Cinco Saltos	-38.82225	-68.06293	19819
Chos Malal	-37.37809	-70.27085	11721
Choele Choel	-39.28941	-65.6606	9791
Chivilcoy	-34.89566	-60.01667	54514
Chimbas	-31.48333	-68.53333	73829
Chilecito	-29.16195	-67.4974	42248
Chicoana	-25.10502	-65.53473	8468
Charata	-27.21438	-61.18795	27813
Chamical	-30.36002	-66.31399	13383
Chacabuco	-34.64167	-60.47389	34587
Cervantes	-39.05444	-67.39426	5173
Ceres	-29.881	-61.94504	13063
Centenario	-38.82955	-68.1318	28956
Caucete	-31.65179	-68.28105	33609
Catriel	-37.87907	-67.7956	15169
Castelli	-25.94679	-60.61947	36588
